DATE,TIME,CLOSE,HIGH,LOW,OPEN,VOLUME
2015-12-28,20:31,9.38,9.38,9.37,9.38,29600
2015-12-28,20:32,9.41,9.41,9.38,9.38,27800
2015-12-28,20:33,9.44,9.44,9.4,9.4,31200
2015-12-28,20:34,9.44,9.45,9.44,9.45,16300
2015-12-28,20:35,9.43,9.44,9.42,9.44,17900
2015-12-28,20:36,9.43,9.44,9.43,9.44,8600
2015-12-28,20:37,9.42,9.44,9.42,9.44,22100
2015-12-28,20:38,9.4,9.42,9.4,9.42,9195
2015-12-28,20:39,9.41,9.41,9.4,9.41,9300
2015-12-28,20:40,9.42,9.42,9.4,9.4,48000
2015-12-28,20:41,9.41,9.42,9.41,9.41,15200
2015-12-28,20:42,9.42,9.43,9.42,9.42,28400
2015-12-28,20:43,9.43,9.43,9.43,9.43,33800
2015-12-28,20:44,9.43,9.44,9.43,9.44,21200
2015-12-28,20:45,9.44,9.44,9.43,9.43,37300
2015-12-28,20:46,9.44,9.44,9.43,9.43,16500
2015-12-28,20:47,9.44,9.44,9.43,9.44,12100
2015-12-28,20:48,9.44,9.44,9.43,9.43,89500
2015-12-28,20:49,9.44,9.44,9.43,9.43,7808
2015-12-28,20:50,9.44,9.44,9.43,9.44,5700
2015-12-28,20:51,9.44,9.44,9.43,9.43,34704
2015-12-28,20:52,9.44,9.44,9.43,9.44,9904
2015-12-28,20:53,9.44,9.44,9.43,9.44,9700
2015-12-28,20:54,9.44,9.44,9.43,9.44,18704
2015-12-28,20:55,9.44,9.44,9.43,9.44,14004
2015-12-28,20:56,9.43,9.44,9.42,9.43,26700
2015-12-28,20:57,9.41,9.43,9.41,9.43,32514
2015-12-28,20:58,9.41,9.41,9.4,9.41,10935
2015-12-28,20:59,9.4,9.41,9.4,9.41,7240
2015-12-28,21:00,9.41,9.41,9.4,9.4,23805
2015-12-28,21:01,9.41,9.41,9.4,9.41,7900
2015-12-28,21:02,9.4,9.41,9.4,9.4,12005
2015-12-28,21:03,9.41,9.41,9.4,9.4,12400
2015-12-28,21:04,9.41,9.41,9.4,9.4,19528
2015-12-28,21:05,9.4,9.4,9.39,9.4,9664
2015-12-28,21:06,9.39,9.41,9.39,9.41,17000
2015-12-28,21:07,9.39,9.39,9.38,9.39,9800
2015-12-28,21:08,9.39,9.39,9.38,9.38,67700
2015-12-28,21:09,9.37,9.39,9.37,9.38,28039
2015-12-28,21:10,9.36,9.37,9.35,9.37,9716
2015-12-28,21:11,9.37,9.37,9.35,9.35,43758
2015-12-28,21:12,9.37,9.38,9.36,9.38,15680
2015-12-28,21:13,9.37,9.38,9.37,9.37,12180
2015-12-28,21:14,9.38,9.38,9.37,9.38,12500
2015-12-28,21:15,9.37,9.38,9.37,9.37,19420
2015-12-28,21:16,9.35,9.37,9.35,9.36,13048
2015-12-28,21:17,9.36,9.36,9.35,9.36,4500
2015-12-28,21:18,9.35,9.35,9.35,9.35,16600
2015-12-28,21:19,9.35,9.35,9.34,9.35,5900
2015-12-28,21:20,9.35,9.36,9.35,9.35,14850
2015-12-28,21:21,9.37,9.37,9.35,9.35,13550
2015-12-28,21:22,9.37,9.37,9.36,9.37,14468
2015-12-28,21:23,9.38,9.38,9.37,9.37,12700
2015-12-28,21:24,9.37,9.38,9.37,9.38,32220
2015-12-28,21:25,9.38,9.39,9.37,9.38,29664
2015-12-28,21:26,9.38,9.39,9.38,9.39,8900
2015-12-28,21:27,9.38,9.39,9.37,9.38,39656
2015-12-28,21:28,9.36,9.38,9.36,9.38,24756
2015-12-28,21:29,9.37,9.37,9.36,9.37,18236
2015-12-28,21:30,9.37,9.38,9.37,9.37,12960
2015-12-28,21:31,9.38,9.38,9.37,9.38,18540
2015-12-28,21:32,9.36,9.38,9.36,9.37,26416
2015-12-28,21:33,9.36,9.37,9.36,9.37,13274
2015-12-28,21:34,9.37,9.38,9.36,9.36,9414
2015-12-28,21:35,9.36,9.38,9.36,9.38,16300
2015-12-28,21:36,9.35,9.37,9.35,9.37,24832
2015-12-28,21:37,9.36,9.36,9.35,9.35,12918
2015-12-28,21:38,9.36,9.36,9.35,9.36,20686
2015-12-28,21:39,9.37,9.37,9.36,9.37,9100
2015-12-28,21:40,9.37,9.37,9.36,9.37,49600
2015-12-28,21:41,9.36,9.37,9.36,9.37,10700
2015-12-28,21:42,9.36,9.37,9.36,9.37,12200
2015-12-28,21:43,9.36,9.36,9.35,9.36,15864
2015-12-28,21:44,9.36,9.37,9.36,9.36,11500
2015-12-28,21:45,9.37,9.37,9.36,9.37,27500
2015-12-28,21:46,9.37,9.37,9.36,9.37,17886
2015-12-28,21:47,9.37,9.38,9.37,9.37,31414
2015-12-28,21:48,9.38,9.38,9.37,9.37,11800
2015-12-28,21:49,9.38,9.38,9.37,9.38,8000
2015-12-28,21:50,9.39,9.4,9.38,9.38,25000
2015-12-28,21:51,9.4,9.4,9.39,9.4,24000
2015-12-28,21:52,9.41,9.41,9.39,9.4,11500
2015-12-28,21:53,9.4,9.41,9.4,9.4,15700
2015-12-28,21:54,9.4,9.41,9.4,9.41,28700
2015-12-28,21:55,9.41,9.42,9.4,9.41,13700
2015-12-28,21:56,9.41,9.42,9.41,9.42,11900
2015-12-28,21:57,9.42,9.42,9.4,9.42,10900
2015-12-28,21:58,9.41,9.42,9.39,9.41,19300
2015-12-28,21:59,9.41,9.42,9.41,9.41,7300
2015-12-28,22:00,9.41,9.41,9.4,9.41,31700
2015-12-28,22:01,9.41,9.42,9.4,9.4,13300
2015-12-28,22:02,9.41,9.42,9.41,9.42,22000
2015-12-28,22:03,9.41,9.41,9.41,9.41,8800
2015-12-28,22:04,9.41,9.41,9.4,9.41,14100
2015-12-28,22:05,9.41,9.42,9.41,9.41,20800
2015-12-28,22:06,9.4,9.42,9.4,9.42,7700
2015-12-28,22:07,9.4,9.41,9.4,9.41,17100
2015-12-28,22:08,9.4,9.41,9.4,9.4,17600
2015-12-28,22:09,9.4,9.41,9.4,9.41,9100
2015-12-28,22:10,9.41,9.41,9.4,9.4,11800
2015-12-28,22:11,9.4,9.41,9.4,9.4,10100
2015-12-28,22:12,9.4,9.41,9.4,9.4,14000
2015-12-28,22:13,9.4,9.41,9.4,9.41,15800
2015-12-28,22:14,9.4,9.41,9.4,9.41,5800
2015-12-28,22:15,9.4,9.41,9.4,9.4,16300
2015-12-28,22:16,9.42,9.42,9.4,9.41,11100
2015-12-28,22:17,9.42,9.42,9.41,9.42,16500
2015-12-28,22:18,9.41,9.42,9.41,9.42,8300
2015-12-28,22:19,9.41,9.42,9.41,9.42,13900
2015-12-28,22:20,9.41,9.41,9.4,9.41,6600
2015-12-28,22:21,9.41,9.41,9.4,9.41,11300
2015-12-28,22:22,9.41,9.41,9.4,9.41,44001
2015-12-28,22:23,9.4,9.41,9.4,9.4,23700
2015-12-28,22:24,9.41,9.41,9.4,9.4,6403
2015-12-28,22:25,9.41,9.41,9.4,9.4,12805
2015-12-28,22:26,9.41,9.41,9.4,9.4,13303
2015-12-28,22:27,9.41,9.41,9.4,9.4,12307
2015-12-28,22:28,9.41,9.41,9.4,9.41,61701
2015-12-28,22:29,9.4,9.41,9.4,9.41,8603
2015-12-28,22:30,9.41,9.41,9.4,9.41,17406
2015-12-28,22:31,9.41,9.41,9.41,9.41,4000
2015-12-28,00:01,9.41,9.42,9.41,9.41,10136
2015-12-28,00:02,9.42,9.42,9.41,9.41,5918
2015-12-28,00:03,9.42,9.42,9.41,9.42,9809
2015-12-28,00:04,9.42,9.42,9.41,9.41,4627
2015-12-28,00:05,9.41,9.42,9.41,9.41,7918
2015-12-28,00:06,9.41,9.42,9.41,9.41,11527
2015-12-28,00:07,9.42,9.42,9.41,9.41,6109
2015-12-28,00:08,9.42,9.42,9.41,9.41,8400
2015-12-28,00:09,9.42,9.42,9.41,9.42,7200
2015-12-28,00:10,9.42,9.42,9.41,9.41,19600
2015-12-28,00:11,9.42,9.42,9.41,9.41,5054
